id,categoria,conversation_id,frase,resposta_esperada,tools_esperadas,tools_chamadas,tool_match,resposta_modelo,keyword_esperada,keyword_match,llm_latency_s,tts_latency_s,total_latency_s,response_chars,response_words,tts_audio_duration_s,tts_rtf
001,tool_bateria,dataset-001,Como está a sua bateria?,informar o estado da bateria,bateria,bateria,True,A bateria está em 75% e não está carregando.,bateria,True,1.7994789079530165,0.3846707519842312,2.1841496599372476,44,9,3.532063492063492,0.10890822117116018
002,tool_bateria,dataset-002,Qual é o nível de carga do NAO?,informar o estado da bateria,bateria,bateria,True,A bateria do NAO está em 75% e não está carregando.,bateria,True,1.361391294049099,0.45442858000751585,1.815819874056615,51,11,4.170612244897959,0.10895968105484576
003,tool_bateria,dataset-003,O robô está carregando?,informar o estado da bateria,bateria,bateria,True,O robô está com 75% de bateria e não está carregando.,bateria,True,1.3834650099743158,0.3724065429996699,1.7558715529739857,53,11,4.054512471655329,0.09184989455652806
004,tool_acender_led,dataset-004,Acenda o LED do peito,confirmar que acendeu o LED do peito em azul,acender_led,acender_led,True,O LED do peito foi aceso em azul.,led|azul,True,1.4956172240199521,0.304805051011499,1.8004222750314511,33,8,2.4639455782312925,0.1237060808909176
005,tool_apagar_led,dataset-005,Apague o LED do peito,confirmar que apagou o LED do peito,apagar_led,apagar_led,True,O LED do peito foi apagado.,led|apag,True,1.5227532029966824,0.3174568139947951,1.8402100169914775,27,6,2.1040362811791384,0.15087991439809526
006,tool_acender_led,dataset-006,Ligue a luz do peito,confirmar que acendeu o LED do peito em azul,acender_led,acender_led,True,A luz do peito está acesa em azul.,led|azul,False,1.7215733589837328,0.31655822502216324,2.038131584005896,34,8,2.254965986394558,0.14038270507499093
007,tool_apagar_led,dataset-007,Desligue a luz do peito,confirmar que apagou o LED do peito,apagar_led,apagar_led,True,A luz do peito foi desligada.,led|apag,False,1.8331993460305966,0.27185942901996896,2.1050587750505656,29,6,1.8950566893424037,0.14345714856388062
008,tool_acender_olhos,dataset-008,Acenda os olhos,confirmar que acendeu os olhos em azul,acender_olhos,acender_olhos,True,Os olhos estão acesos em azul.,olhos|azul,True,1.7764904809882864,0.29869335697731003,2.0751838379655965,30,6,1.9531065759637187,0.1529324414004014
009,tool_apagar_olhos,dataset-009,Apague os olhos,confirmar que apagou os olhos,apagar_olhos,apagar_olhos,True,Os olhos foram apagados.,olhos|apag,True,1.319228011998348,0.2710979650146328,1.5903259770129807,24,4,1.720907029478458,0.1575320225734637
010,tool_acender_olhos,dataset-010,Ligue as luzes dos olhos,confirmar que acendeu os olhos em azul,acender_olhos,acender_olhos,True,As luzes dos olhos estão acesas em azul.,olhos|azul,True,1.6950532499467954,0.33281333500053734,2.0278665849473327,40,8,2.4871655328798186,0.13381229781484716
011,tool_apagar_olhos,dataset-011,Desligue as luzes dos olhos,confirmar que apagou os olhos,apagar_olhos,apagar_olhos,True,As luzes dos olhos foram desligadas.,olhos|apag,False,1.817429786955472,0.29383651999523863,2.1112663069507107,36,6,2.394285714285714,0.12272408353023094
012,tool_cabeca_esquerda,dataset-012,Mova a cabeça para a esquerda,confirmar que moveu a cabeça para a esquerda,mover_cabeca_esquerda,mover_cabeca_esquerda,True,Cabeça movida para a esquerda.,esquerda,True,1.662028442020528,0.27806837495882064,1.9400968169793487,30,5,1.8718367346938776,0.14855375461166825
013,tool_cabeca_direita,dataset-memoria,Mova a cabeça para a direita,confirmar que moveu a cabeça para a direita,mover_cabeca_direita,mover_cabeca_direita,True,Cabeça movida para a direita.,direita,True,1.554933361010626,0.2947472100495361,1.849680571060162,29,5,1.8137868480725623,0.16250377510607267
014,tool_centralizar_cabeca,dataset-memoria,Centralize a cabeça,confirmar que centralizou a cabeça,centralizar_cabeca,centralizar_cabeca,True,Cabeça centralizada.,central,True,1.3071769069647416,0.27896676800446585,1.5861436749692075,20,2,1.5699773242630386,0.17768840587262325
015,tool_cabeca_esquerda,dataset-memoria,Vire a cabeça para a esquerda,confirmar que moveu a cabeça para a esquerda,mover_cabeca_esquerda,mover_cabeca_esquerda,True,Cabeça movida para a esquerda.,esquerda,True,1.4046010579913855,0.30864722799742594,1.7132482859888114,30,5,1.8602267573696145,0.165919142262988
016,tool_cabeca_direita,dataset-memoria,Olhe para a direita,confirmar que moveu a cabeça para a direita,mover_cabeca_direita,mover_cabeca_direita,True,Cabeça movida para a direita.,direita,True,1.8325183439883403,0.29385533201275393,2.1263736760010943,29,5,1.7905668934240362,0.16411301532043018
017,tool_centralizar_cabeca,dataset-contexto-acao,Volte a cabeça para o centro,confirmar que centralizou a cabeça,centralizar_cabeca,centralizar_cabeca,True,A cabeça foi centralizada.,central,True,1.7542182600009255,0.3090226289932616,2.063240888994187,26,4,1.8834467120181406,0.16407293448835586
018,tool_composta_luzes,dataset-contexto-acao,Acenda o LED do peito e os olhos,executar as ações pedidas e responder de forma curta,acender_led|acender_olhos,acender_led|acender_olhos,True,O LED do peito e os olhos foram acesos.,led|olhos,True,2.3644722040044144,0.3481289140181616,2.712601118022576,39,9,2.8122448979591836,0.12379039758265543
019,tool_composta_luzes,dataset-contexto-acao,Apague o LED do peito e os olhos,executar as ações pedidas e responder de forma curta,apagar_led|apagar_olhos,apagar_led|apagar_olhos,True,O LED do peito e os olhos foram apagados.,led|olhos|apag,True,2.2404382179956883,0.3390972830238752,2.5795355010195635,41,9,2.939954648526077,0.11534099112511105
020,tool_composta_cabeca,dataset-contexto-acao,Mova a cabeça para a esquerda e depois centralize,executar as ações pedidas e responder de forma curta,mover_cabeca_esquerda|centralizar_cabeca,mover_cabeca_esquerda|centralizar_cabeca,True,A cabeça foi movida para a esquerda e depois centralizada.,esquerda|central,True,2.4890331189963035,0.37758808000944555,2.866621199005749,58,10,3.3927437641723355,0.11129283737746658
021,tool_composta_cabeca,dataset-memoria-factual,Mova a cabeça para a direita e depois centralize,executar as ações pedidas e responder de forma curta,mover_cabeca_direita|centralizar_cabeca,mover_cabeca_direita|centralizar_cabeca,True,A cabeça foi movida para a direita e depois centralizada.,direita|central,True,2.1819268239778467,0.37253745301859453,2.554464276996441,57,10,3.3695238095238094,0.11056086084497577
022,tool_variacao_led,dataset-memoria-factual,Ative a luz do peito,confirmar que acendeu o LED do peito em azul,acender_led,acender_led,True,A luz do peito foi ativada.,led|azul,False,1.6060963349882513,0.27830878598615527,1.8844051209744066,27,6,1.8718367346938776,0.14868219050721335
023,tool_variacao_bateria,dataset-023,Me diga a carga da bateria,informar o estado da bateria,bateria,bateria,True,A bateria está em 75% e não está carregando.,bateria,True,1.5542806439916603,0.39634546998422593,1.9506261139758863,44,9,3.566893424036281,0.11111783360651217
024,tool_variacao_cabeca,dataset-numero,Centralize sua cabeça agora,confirmar que centralizou a cabeça,centralizar_cabeca,centralizar_cabeca,True,Minha cabeça está centralizada.,central,True,2.461877556052059,0.29482488497160375,2.7567024410236627,31,4,1.9414965986394557,0.1518544432054161
